Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17
3,1,2,0,1,1,2,1,2,0,3,0,110,56,114,65,2,0,1,1,1,1,0,0,1,0,14,6,2,0,3,0,2,0,0,0
1,0,2,0,3,0,2,0,4,0,0,0,110,56,114,65,1,0,2,0,1,0,1,0,2,1,0,1,2,1,2,0,1,0,0,0
2,0,1,0,1,0,2,0,6,2,3,0,0,0,0,0,2,0,3,2,0,0,2,0,2,3,1,1,1,0,1,1,1,0,0,0
2,0,2,0,3,0,4,0,4,2,1,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,3,0,2,1,2,0,3,0,0,0
1,0,2,0,2,1,5,0,5,0,112,45,0,0,0,0,3,1,3,2,3,1,1,1,1,3,0,1,2,1,2,0,1,0,0,0
3,1,2,1,3,0,4,0,3,1,114,45,121,56,0,0,2,2,1,1,2,0,2,2,1,0,2,2,2,1,118,37,3,1,0,0
2,0,2,0,2,1,2,0,4,1,114,45,121,56,0,0,2,1,6,0,17,2,1,1,0,1,1,0,2,0,123,38,2,0,0,0
2,1,2,1,1,0,2,0,1,1,119,46,124,56,0,0,2,1,0,1,3,0,2,1,1,1,0,0,2,0,1,1,2,1,0,0
2,1,3,1,3,1,3,2,3,1,3,1,2,1,0,0,3,1,3,0,2,1,2,1,2,0,0,0,2,1,2,1,2,1,0,0
2,0,1,0,2,1,1,0,1,0,0,1,8,2,114,68,1,0,3,1,24,0,3,0,8,0,25,1,3,1,126,40,2,0,0,0
2,1,2,1,2,0,3,1,3,3,2,0,3,1,2,1,2,1,4,1,24,0,1,0,3,1,0,1,2,1,0,0,2,0,0,0
2,0,2,0,2,0,0,0,0,1,3,0,10,1,116,69,2,2,2,1,0,1,3,1,2,0,18,4,2,0,0,0,2,0,0,0
2,0,2,1,1,1,0,0,0,1,2,1,1,0,0,0,2,1,4,0,0,0,1,1,2,1,4,1,2,0,0,0,3,0,0,0
2,1,2,0,1,0,1,0,2,1,3,0,2,0,0,0,2,0,2,0,1,2,3,1,4,0,9,2,2,1,0,0,2,1,0,0
1,0,1,0,3,0,1,0,2,2,0,0,134,59,0,0,1,1,3,1,2,1,1,0,1,1,1,2,2,1,138,40,0,0,0,0
2,0,2,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,2,1,4,1,3,1,3,0,1,1,138,40,3,0,0,0
2,0,1,0,3,1,2,0,1,1,2,1,0,0,0,0,4,1,4,1,3,3,2,1,2,0,1,4,2,0,0,0,2,0,0,0
1,0,3,0,2,1,2,1,0,1,4,0,0,0,0,0,2,0,3,1,4,1,4,0,2,2,0,1,2,1,0,0,1,0,0,0
3,0,1,0,2,1,3,1,8,2,0,1,137,59,135,68,3,1,2,1,5,0,0,2,2,0,0,0,1,1,0,0,2,0,0,0
2,1,2,1,2,0,1,0,3,3,138,47,137,59,135,68,1,1,1,1,7,0,1,1,0,1,0,1,3,1,0,0,2,1,0,0
1,1,2,1,2,1,2,0,4,0,141,48,141,60,138,70,3,1,1,2,4,0,1,1,1,0,0,1,1,0,0,0,2,0,0,0
2,1,1,0,2,0,3,0,3,1,2,1,5,0,1,1,2,1,2,1,3,1,3,1,1,1,0,0,2,0,0,0,3,1,0,0
2,1,3,0,2,1,1,1,14,8,3,0,2,0,19,9,2,1,2,0,2,1,1,0,2,0,1,0,3,1,0,0,1,1,0,0
2,0,1,1,2,0,3,0,16,7,1,0,148,60,158,62,3,1,2,0,1,0,3,0,2,0,1,0,1,1,0,0,2,0,0,0
3,1,3,0,2,1,2,2,2,1,2,1,152,63,0,0,1,0,2,0,0,0,2,1,4,1,2,1,3,1,0,0,2,0,0,0
1,1,2,0,2,1,1,1,7,6,1,1,1,1,149,71,2,0,2,0,0,0,4,1,4,1,3,2,1,1,0,0,2,0,0,0
2,2,1,1,1,0,1,0,4,0,150,49,151,62,149,71,0,2,0,2,0,0,1,3,4,2,3,1,2,2,0,0,2,1,0,0
1,0,2,0,2,1,3,1,1,1,155,49,154,59,0,0,2,1,0,0,1,1,1,1,3,1,16,5,1,0,0,0,1,1,0,0
1,1,2,0,1,0,1,0,1,1,155,49,154,59,0,0,1,2,2,1,1,1,4,1,3,1,1,2,2,0,0,0,2,0,0,0
2,1,2,1,2,0,4,1,7,2,0,0,0,0,0,0,2,1,2,1,0,1,2,1,2,0,0,0,0,0,165,41,1,0,0,0
38,0,38,0,38,1,33,1,29,7,122,47,126,57,0,0,38,2,38,2,26,0,41,2,47,2,50,3,38,2,39,1,39,0,0,0
26,19,35,19,31,19,21,16,9,14,38,19,40,17,170,80,34,11,35,9,37,7,39,11,36,8,40,7,28,20,28,19,122,41,157,59
2,0,2,0,1,0,1,0,3,2,2,0,3,0,2,0,2,0,2,0,2,1,1,0,2,0,0,0,3,0,2,0,0,0,2,0
2,0,2,0,3,0,2,0,0,1,2,1,3,0,5,1,2,1,3,1,1,0,2,1,2,0,0,1,2,0,2,0,0,0,2,0
2,1,2,2,1,2,1,0,1,1,2,1,3,0,5,1,4,0,7,0,19,4,3,0,0,0,0,0,1,0,2,0,0,0,1,0
2,0,2,1,3,1,2,0,1,2,1,0,4,0,5,1,2,0,3,0,0,0,3,1,0,1,1,1,3,2,1,2,0,0,3,0
2,0,1,1,0,1,0,1,1,1,3,1,3,1,8,0,2,0,1,0,1,2,2,0,0,0,2,1,1,1,3,1,0,0,1,1
2,1,2,1,2,1,1,1,142,80,2,1,1,1,0,0,2,0,2,1,1,0,1,1,1,1,1,1,2,2,1,2,0,0,2,1
2,0,3,0,2,0,3,0,138,78,1,0,1,0,4,1,1,0,4,0,4,1,0,0,2,0,2,2,3,0,3,0,0,0,2,0
